UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,LATITUDE,LONGITUDE,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2022)
P.084,Pahang,P.084,Paya Besar,3.7861754,103.233338,79744,83.96,11.06,1.92,1.56,0.1,0.12,1.28,99.86,0.01,0.09,0.04,7.26,22.9,24.67,16.88,12.72,9.73,4.5,1.18,0.17,49.7,50.3,RURAL
P.085,Pahang,P.085,Pekan,3.4895509,103.390396,119443,84.96,1.79,0.7,9.39,0.35,0.53,2.28,94.07,0.01,0.36,5.55,7.04,23.93,27.02,17.47,11.48,8.51,3.43,0.92,0.21,50.77,49.23,SEMI URBAN
P.086,Pahang,P.086,Maran,3.601443,102.6410048,53128,89.36,5.8,1.38,2.3,0.09,0.07,0.99,99.58,0,0.42,0,6.19,19.63,23.52,19.63,14.62,7.87,6.22,2.08,0.25,49.92,50.08,RURAL
P.087,Pahang,P.087,Kuala Krau,3.709684,102.367585,60537,88.7,2.52,2.07,5.96,0.1,0.06,0.59,99.93,0,0.07,0,6.02,19.29,26.39,20.5,11.12,9.09,6.22,1.19,0.18,49.45,50.55,RURAL
P.088,Pahang,P.088,Temerloh,3.6124468,102.2566818,106829,66.28,21.05,8.12,1.38,0.35,0.54,2.29,97.61,0.01,0.48,1.9,6.72,23.82,24.21,16.12,13.11,9.96,4.31,1.46,0.29,50.18,49.82,SEMI URBAN
P.089,Pahang,P.089,Bentong,3.3624708,102.0172675,87058,49.25,37.99,9.09,2.65,0.16,0.17,0.68,98.6,0.01,0.35,1.03,5.38,19.05,22.37,17.47,15.19,11.66,6.4,2.16,0.32,50.98,49.02,SEMI URBAN
P.090,Pahang,P.090,Bera,3.2366738,102.5417723,77669,62.04,27.82,3.66,5.18,0.27,0.32,0.71,95.1,0.01,0.36,4.53,5.73,20.41,25.92,18.25,12.71,9.59,5.77,1.44,0.18,51.26,48.74,RURAL
P.091,Pahang,P.091,Rompin,2.8245772,103.0993556,89131,83.29,2.43,0.89,11.87,0.16,0.1,1.25,99.29,0,0.38,0.33,6.51,22.75,28.78,16.66,10.38,10,4.14,0.65,0.13,49.84,50.16,RURAL
P.092,Selangor,P.092,Sabak Bernam,3.6871153,101.0580588,51609,81.32,13.05,4.88,0.01,0.1,0.09,0.56,99.89,0,0.1,0.01,6.01,20.67,23.57,16.59,14.64,10.4,5.89,1.82,0.42,49.18,50.82,RURAL
P.093,Selangor,P.093,Sungai Besar,3.6777145,100.9880263,64382,67.33,29.33,2.1,0.01,0.21,0.09,0.93,99.49,0,0.5,0,5.95,22.25,24.14,16.94,14.62,9.42,4.92,1.48,0.28,50.51,49.49,SEMI URBAN
P.094,Selangor,P.094,Hulu Selangor,3.5367441,101.5949347,154317,62.81,18.14,15.13,1.84,0.34,0.27,1.47,99.12,0.01,0.69,0.18,8.03,25.48,20.8,15.83,15,9.41,3.89,1.29,0.27,49.63,50.37,SEMI URBAN
P.095,Selangor,P.095,Tanjong Karang,3.4248609,101.1765284,62194,73.15,17.2,8.23,0.01,0.1,0.05,1.26,99.95,0.01,0.04,0,6.17,21.19,23.26,17.68,14.65,10.13,5.03,1.51,0.37,50.17,49.83,RURAL
P.096,Selangor,P.096,Kuala Selangor,3.3621022,101.3455503,102951,66.81,12.06,19.55,0.01,0.2,0.12,1.24,99.61,0.01,0.38,0,7.99,24.61,21.83,16.74,14.34,9.06,4.03,1.11,0.28,49.46,50.54,SEMI URBAN
P.097,Selangor,P.097,Selayang,3.2537121,101.6539012,181539,51.59,26.3,17.9,0.26,0.42,0.28,3.24,99.64,0.01,0.34,0.02,8.34,25.33,21.15,16.4,14.39,9.52,3.67,1.02,0.19,49.57,50.43,URBAN
P.098,Selangor,P.098,Gombak,3.3,101.7,206744,69.94,10.86,10.86,0.5,0.26,0.19,7.39,99.75,0.04,0.11,0.1,6.65,21.78,23,17.5,13.89,11.04,4.93,1.06,0.16,49.62,50.38,URBAN
P.099,Selangor,P.099,Ampang,3.1505141,101.7600712,133494,51.4,32.44,9.68,0.01,0.44,0.29,5.74,99.74,0.03,0.23,0,6.34,21.08,21.35,17.31,15.21,11.8,5.21,1.47,0.22,49.29,50.71,URBAN
P.100,Selangor,P.100,Pandan,3.1359876,101.7204333,148730,40.22,46.97,7.95,0.02,0.76,0.34,3.75,99.59,0.02,0.39,0,5.58,20.17,22.61,18.39,16.04,11.71,4.31,1.06,0.12,49.3,50.7,URBAN
