UNIQUE_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_CODE,PARLIAMENTARY_NAME,LATITUDE,LONGITUDE,TOTAL_ELECTORS,Malay,Chinese,Indian,Orang Asli,Bumiputera Sabah,Bumiputera Sarawak,Others
P.199,Sarawak,P.199,Serian,1.1136159,110.6182211,37629,7.56,10.03,0.12,0.57,0.19,81.35,0.18
P.200,Sarawak,P.200,Batang Sadong,1.418612,110.7036751,23213,70.11,5.11,0.04,0.05,0.13,24.33,0.23
P.201,Sarawak,P.201,Batang Lupar,2.5023855,112.9547283,29811,67.08,2.86,0.02,0.02,0.09,29.85,0.08
P.202,Sarawak,P.202,Sri Aman,1.2097123,111.2866092,33016,10.32,16.59,0.04,0.11,0.19,72.58,0.17
P.203,Sarawak,P.203,Lubok Antu,1.2860121,111.8674654,20801,1.5,7.79,0.02,0.01,0.21,90.32,0.15
P.204,Sarawak,P.204,Betong,1.4797292,111.474787,29145,38,6.57,0.06,0.02,0.13,55.08,0.14
P.205,Sarawak,P.205,Saratok,1.7668371,111.4087566,30517,36,6.41,0.03,0.01,0.09,57.34,0.12
P.206,Sarawak,P.206,Tanjong Manis,2.129,111.2907,21899,25.61,4.83,0.03,0.02,0.21,68.85,0.45
P.207,Sarawak,P.207,Igan,2.8212516,111.7063114,19592,6.84,3.69,0.03,0.01,0.31,88.93,0.19
P.208,Sarawak,P.208,Sarikei,2.1294846,111.5230586,39561,4.56,62.78,0.03,0.01,0.16,32.29,0.17
P.209,Sarawak,P.209,Julau,1.8198041,111.8990022,25380,0.63,4.53,0.03,0.01,0.11,94.58,0.11
P.210,Sarawak,P.210,Kanowit,1.9353301,112.2098575,21022,1.56,11.77,0.02,0.03,0.1,86.39,0.13
P.211,Sarawak,P.211,Lanang,2.2397256,111.8478428,61973,3.44,68.68,0.05,0.02,0.25,27.44,0.12
P.212,Sarawak,P.212,Sibu,2.2906434,111.8256158,74149,11.12,62.74,0.1,0.04,0.35,25.49,0.16
P.213,Sarawak,P.213,Mukah,2.8118528,112.291206,30608,3.23,9.15,0.04,0.01,0.36,86.94,0.27
P.214,Sarawak,P.214,Selangau,2.4955896,112.3524958,30026,1.11,3.3,0.01,0.01,0.12,95.07,0.38
P.215,Sarawak,P.215,Kapit,2.0139027,112.9356766,30658,2.71,9.51,0.07,0.02,0.21,87.34,0.14
P.216,Sarawak,P.216,Hulu Rajang,2.2907,114.849,27520,0.96,1.56,0.03,0.23,0.25,96.74,0.23
P.217,Sarawak,P.217,Bintulu,3.1874261,113.0472803,65049,10.57,28.75,0.09,0.01,0.37,60.03,0.18
P.218,Sarawak,P.218,Sibuti,4.5126609,114.0146618,31868,23.85,21.54,0.11,0.01,0.39,53.7,0.4
P.219,Sarawak,P.219,Miri,4.392739,113.9880255,80386,15.28,55.32,0.29,0.01,0.44,28.35,0.31
P.220,Sarawak,P.220,Baram,3.2022972,115.3967428,35685,4.79,7.86,0.04,0.24,0.25,86.57,0.25
P.221,Sarawak,P.221,Limbang,4.3519985,115.0602417,26409,28.18,17.98,0.08,0.05,7.62,45.82,0.27
P.222,Sarawak,P.222,Lawas,4.4551211,115.427188,21297,40.08,9.25,0.09,0.02,1.73,48.42,0.41
